id,nb_images,longueur_image,largeur_image,description_produit,taille,annee,couleur,prix,categorie,nom_produit,delai_vente
1047,1,1100.0,1100.0,"Lot de 6 cuillères en argent. 35 gr Vendu dans un écrin. Poinçon Minerve
",,,,18.0,mobilier - deco,Lot de 6 cuillères en argent. 35 gr Vendu dans un écrin. Poinçon Minerve,0
1048,7,1536.0,2048.0,"Jumelles PARALUX JUMBO ZOOM 10-50x60mm.

Dimensions en cm : H 22 x L 20,5

La eboutique Emmaüs Alternatives vous propose un achat solidaire à travers une sélection d'objets de collection.",,,Noir,55.0,loisirs,Jumelles PARALUX JUMBO ZOOM 10-50x60mm,1
1049,3,1536.0,1536.0,"Robe noire à bretelles MARITHE + FRANCOIS GIRBAUD. Haut:  bustier près du corps et bonnets préformés avec armatures et 2 bretelles en tissu velours. Évasée sur le bas avec empiècement de tissu satiné et de mousseline sur la doublure.
Composition du tissu 1 : 100% polyester. Composition du tissu 2 : 49% coton, 47% nylon, 4% élasthanne. Composition de la doublure 1 : 60% acétate, 40% rayon. Composition de la doublure 2 : 90% coton, 10% nylon. 
Une robe pour être la plus belle le 31.",36,,Noir,35.0,mode,,1
1050,5,2448.0,2448.0,"Pantalon femme 
Taille : 36
Colorie : Gris / blanc
Matière : 49 % polyester / 34 % laine / 17 % acrylique
2 poches raglan à l'avant
2 fausses poches passepoilée à l'arriere
bas du pantalon : largeur 27 cm
On ose pour avoir chaud !",36,,Gris,4.0,mode,Pantalon femme en laine de marque Promod,1
1051,1,405.0,250.0,"<p><strong>Livre d'occasion écrit par Amélie Nothomb paru en 2007 aux éditions Le Livre De Poche<br>Thème : LITTÉRATURE GÉNÉRALE - Romans - Romans francophones.</strong></p><p>A propos de cet exemplaire de ""Acide sulfurique"": couverture souple, format poche , bon état.<br> . Code ISBN de référence pour ce livre : 9782253121183<br></p><p><strong>Informations légales sur la vente de livres d'occasion sur Label Emmaüs :</strong> la photo de couverture présentée n'est pas contractuelle. Vous recevrez l'exemplaire disponible actuellement dans nos boutiques dans un délai de 5 à 8 jours. </p><p>En achetant ce livre d'occasion en ligne, vous soutenez l'insertion professionnelle et l'emploi au sein d'une librairie solidaire Emmaüs, ainsi que le réemploi de livres et la préservation de l'environnement.</p>",,2007.0,,2.4,librairie,Acide sulfurique - Amélie Nothomb,1
1052,1,600.0,360.0,"<p><strong>Livre d'occasion écrit par Guy Finley paru en 2008 aux éditions Pocket<br>Thème : LIVRES PRATIQUES - Santé et Bien-être (santé physique et mentale, hygiène, sexualité, psychologie, pédagogie, enfants) - Développement personnel.</strong></p><p>A propos de cet exemplaire de ""LACHER PRISE"": couverture souple, format poche , état acceptable.<br> . Code ISBN de référence pour ce livre : 9782266181334<br></p><p><strong>Informations légales sur la vente de livres d'occasion sur Label Emmaüs :</strong> la photo de couverture présentée n'est pas contractuelle. Vous recevrez l'exemplaire disponible actuellement dans nos boutiques dans un délai de 5 à 8 jours. </p><p>En achetant ce livre d'occasion en ligne, vous soutenez l'insertion professionnelle et l'emploi au sein d'une librairie solidaire Emmaüs, ainsi que le réemploi de livres et la préservation de l'environnement.</p>",,2008.0,,1.8,librairie,LACHER PRISE - Guy Finley,2
1053,3,2200.0,2200.0,"Idéal pour le ski ou la randonnée...

Veste polaire chaude Quechua à capuche. 
Fermeture et 2 poches zippées devant. 1 poche zippée dans la manche. 
Inscription Quechua brodée en fuschia devant. Manches raglan.
 Taille à plat 40 cm. Longueur totale 61 cm env.
",S,,,7.0,label selection,Veste polaire Quechua ski randonnée Taille S,0
1054,2,2000.0,2000.0,"Une petite théière décorative en forme de table de jardin
Hauteur: 17 cm avec couvercle et 10 cm sans.
longueur: 23 cm
Largeur: 9 cm",,,Multicolore,5.0,mobilier - deco,"Théière décorative style ""table de jardin""",0
1055,8,2448.0,2448.0,"Le glamour est à son apogée ! En clin d’oeil, des strass scintille devant. 
Ensemble deux pièces comprenant :
un soutien-gorge.
une Culotte de dentelle.
Bretelles réglables.
Dentelle sur les bonnets.
Taille: 95 C/ 46. 
Matière 85% polyamid, 15% élasthanne. ",46,,Rouge,6.0,mode,Ensemble lingerie soutien-gorge/culotte rouge à strass SCANDALE,1
1056,1,409.0,250.0,"<p><strong>Livre d'occasion écrit par Jane Austen paru en 2011 aux éditions Archipoche<br>Thème : LITTÉRATURE GÉNÉRALE - Romans.</strong></p><p>A propos de cet exemplaire de ""Persuasion"": couverture souple, format poche , bon état.<br>  Couverture cornée. Code ISBN de référence pour ce livre : 9782352872115<br></p><p><strong>Informations légales sur la vente de livres d'occasion sur Label Emmaüs :</strong> la photo de couverture présentée n'est pas contractuelle. Vous recevrez l'exemplaire disponible actuellement dans nos boutiques dans un délai de 5 à 8 jours. </p><p>En achetant ce livre d'occasion en ligne, vous soutenez l'insertion professionnelle et l'emploi au sein d'une librairie solidaire Emmaüs, ainsi que le réemploi de livres et la préservation de l'environnement.</p>",,2011.0,,1.2,librairie,Persuasion - Jane Austen,0
1057,3,3395.0,2725.0,ce livre a été publié en lien avec l'exposition à The Metropolitan Museum of Art de New York en 1983,,1983.0,Multicolore,7.5,mode,,0
1058,4,800.0,800.0,"Lot de 6 serviettes brodées à la main avec les lettres ""FM"" en relief, en lin damassée et de couleur blanche. Lettres entourées de jours et de broderies florales. Bordure de la serviette avec des jours de différentes formes.
Dimension 82 cm x 60 cm. Bon état.


",,,Blanc,15.0,mobilier - deco,"Lot de 6 serviettes brodées main ""FM"" en lin",0
1059,8,2448.0,2448.0,"Bermuda à carreaux homme BLUE STAR FASHION.
Fermeture zippée et boutonné.
Passants pour une ceinture.
7 poches.
Lacets de resserrage intérieur et aux genoux. 
Taille: 40.
Matière: 35% coton, 65% polyester. ",40,,Multicolore,4.0,mode,Bermuda à carreaux homme BLUE STAR FASHION ,0
1060,3,1536.0,2048.0,"Maison forestière JeuJura coffret n°3
A partir de 5 ans
133 pièces",,,,10.0,enfance,Maison forestière JeuJura coffret n°3,0
1061,2,1100.0,1100.0,"Diorama Renault R8. Collection La Route Bleue Les Plus Belles Etapes de la RN7. Les Plus Belles Etapes de la RN7. Altaya. ech : 1/43. Vienne - Saint-Vallier. N6 Etape 19 La Contravention. Dimensions: 15,5 x 9,5 x 7 cm. Poids: 200g. Très bon état",,,,15.0,mobilier - deco,Collection La Route Bleue Les Plus Belles Etapes de la RN7,0
1062,6,2448.0,2448.0,"Sautoir argenté pour femme de la marque ENTRE GUILLEMETS.
Motifs ethnique. 
Fermoire collier à bouée.  
Longueur: 60 cm. 
 ",,,Argenté,3.0,mode,Sautoir argenté  pour femme ENTRE GUILLEMETS,0
1063,4,2943.0,2278.0,"Manuel du Voyageur , La Suisse 1881. Couverture abîmée coté intérieur / déchirée . La Suisse et les parties limitrophes de l'Italie , de la Savoie et du Tyrol . Treizième éditions , refondue avec 26 cartes , 10 plans et 9 panoramas .
H 16 cm , 513 pages .",,1881.0,,8.0,librairie,"Manuel du Voyageur , La Suisse 1881",2
1064,5,2448.0,2448.0,"Jupe grise à sequins T6 ans NKY. 
Taille élastique.
Tissu en tulle à la base.
Effet plissée et évasée. 
Taille: 6 ans. 
Matière: 100% polyester. ",,,Gris,3.0,mode,Jupe grise à sequins T6 ans NKY ,1
1065,5,1088.0,1088.0,LOT DE COUVERTS COMPRENANT 12 CUILLÈRES 84 GRAMMES .12 FOURCHETTES 84 GRAMMES .12 PETITES CUILLÈRES 18 GRAMMES . UNE LOUCHE 10 GRAMMES    .DEUX CUILLÈRES à MOUTARDE  FORME  FILET ,,,Argenté,150.0,mobilier - deco,COUVERTS EN ARGENT,0
1066,2,616.0,616.0,"<p><strong>Livre d'occasion écrit par Michelet Claude paru en 1991 aux éditions Le Livre De Poche.</strong></p><p>A propos de cet exemplaire de ""Les Promesses du Ciel et de la Terre Tome 2. pour un Arpent de Terre"": couverture souple, format poche , bon état.<br/> . Code ISBN de référence pour ce livre : 9782253043225<br /></p><p><strong>Informations légales sur la vente de livres d'occasion sur Label Emmaüs :</strong> la photo de couverture présentée n'est pas contractuelle. Vous recevrez l'exemplaire disponible actuellement dans nos boutiques dans un délai de 5 à 8 jours. </p><p>En achetant ce livre d'occasion en ligne, vous soutenez l'insertion professionnelle et l'emploi au sein d'une librairie solidaire Emmaüs, ainsi que le réemploi de livres et la préservation de l'environnement.</p>",,1991.0,,1.2,librairie,Les Promesses du Ciel et de la Terre Tome 2. pour un Arpent de Terre - Michelet Claude,2
1067,3,2622.0,2623.0,"Ancienne pipe Allemande, motif animaux (gibier).
Fourneau en porcelaine.
Couvercle abîmé.
Dimensions : hauteur 25 cm
                        largeur 9,5 cm",,,Multicolore,15.0,loisirs,Ancienne pipe Allemande,0
1068,5,410.0,395.0,"- Ancien téléphone de marque SO.CO.TEL
- années 1970
- couleur: bleu
- cadrant rotatif  
",,,,15.0,multimédia,Ancien téléphone socotel bleu ,1
1069,3,2304.0,3072.0,"Caméra 8 mm Dejur Electra
Tourelle trois objectifs
Cellule couplée
",,,,40.0,loisirs,Caméra 8 mm Dejur Electra,2
1070,4,2304.0,3456.0,"Tomes I et II des oeuvres complètes de Shakespeare - NRF - Bibliothèque de la Pléiade. Edition en 3 tomes par Henri Fluchère. Avant-propos d'André Gide. 1965. Les deux tomes sont en parfait état avec jacquette, couverture rodhoïde et emboitage carton. Dimensions 18 x 11 x 4,5 cm. Traces sur un des emboitages carton",,1965.0,,40.0,librairie,Tomes I et II oeuvres complètes de Shakespeare - NRF - Pléiade,0
1071,4,2346.0,2261.0,"Chaussures anglaises CHURCH'S  modèle consul
Les chaussures en cuir noir Consul signées Church's sont confectionnées dans le style traditionnel porté par les ambassadeurs et les politiciens anglais.
État :neuf  semelle refaite
Vendu avec son embauchoirs
Taille 11,5 soit 45,5
",,,Noir,50.0,mode,Chaussures anglaise church's,2
1072,5,561.0,1000.0,"Port en bandoulière ou sur épaule
Fermeture avec rabat et bouton pression
1 poche intérieure
Rabat utilisable comme poche également",,,Marron,5.0,mode,SAC A MAIN MARRON GLACE,0
1073,4,2540.0,3195.0,"Cuisinez avec ce fais tout ancien de marque Silit . De très bonne qualité vous allez pouvoir cuisiner de nombreuses années ! Le fond présente une marque ( voir photo ) Couvercle transparent , deux poignées . Fond Silitherm économiseur d'énergie . Pour tout type de plaque de cuisson . 
Dimensions = Hauteur et profondeur 10 cm , diamètre = 20 cm .",,,Marron,15.0,mobilier - deco,Fais tout Silit ,1
1074,2,786.0,1024.0,"Bel appareil photo vintage à pellicule, belle pièce qui ravira de nombreux collectionneurs , en bon état et très bien entretenu avec lanière d'origine pour les amateurs du septième art",,,,30.0,loisirs,appareil photo konica vintage,0
1075,1,574.0,373.0,"<p><strong>Livre d'occasion écrit par Mikael Hod paru en 1996 aux éditions Trajectoire<br>Thème : ÉSOTÉRISME, OCCULTISME - Esprit, Paranormal.</strong></p><p>A propos de cet exemplaire de ""Le grand livre des anges"": couverture souple, format moyen , bon état.<br>  Couverture légèrement défraîchie Quelques rousseurs sur les tranches. Code ISBN de référence pour ce livre : 9782841971473<br></p><p><strong>Informations légales sur la vente de livres d'occasion sur Label Emmaüs :</strong> la photo de couverture présentée n'est pas contractuelle. Vous recevrez l'exemplaire disponible actuellement dans nos boutiques dans un délai de 5 à 8 jours. </p><p>En achetant ce livre d'occasion en ligne, vous soutenez l'insertion professionnelle et l'emploi au sein d'une librairie solidaire Emmaüs, ainsi que le réemploi de livres et la préservation de l'environnement.</p>",,1996.0,,2.0,librairie,Le grand livre des anges - Mikael Hod,0
1076,8,2448.0,2448.0,"Robe beige à rayures rouges femme MAWMEAW. 

- Col rond. 
- Sans manches. 
- Surpiqûres ton sur ton. 
- Lacets de resserrage à la taille. 
- Empiècements à la base. 
- Rayures rouges. 

Taille: non renseignée, nous estimons une taille 38. 
Matière: non renseignée. 
",38,,Ecru,6.0,mode,Robe beige à rayures rouges femme MAWMEAW ,0
1077,2,1536.0,1536.0,"Serviettes blanches. Lot de 4.  Lettres ""ML"" brodées à la main en relief au centre d'un damassé. Composition : coton.
Dimensions 80 cm x 60 cm.",,,Blanc,20.0,mobilier - deco,,0
1078,3,1100.0,645.0,"Veste sans fermeture avec 2 poches
Pantalon 2 poches
col original
Intérieur tissu",40,,Violet,80.0,mode,Costume femme Violet Lanvin,2
1079,5,1536.0,2048.0,"2 tomes.
Tome 1 : 536 pages
Tome 2 + index : pages 537 à 1196",,,,120.0,librairie,"De morbis venereis, Libri novem.",2
1080,3,1000.0,1000.0,"Plaque métallique, publicité  pour la marque Mortis, produit contre les rats, souris, taupes, loirs, cafards, moustiques, mouches…. Environ 60x40cm. 
6 points de fixation murale",,,,50.0,mobilier - deco,Panneau publicitaire,2
1081,4,2200.0,2200.0,"♫ Femmes des années 80 ♫ ♪... 

Blazer veste tailleur Escada Margaretha Ley vintage en lainage ( 40% cachemire) pied de coq. 
Carrure épaulée. 
Fermée devant par un bouton. 
1 poche poitrine oblique, 2 poches passepoilées avec rabat devant. 
Carrure à plat 43 cm.Largeur taille à plat 43,5 cm. Longueur totale 77,5 cm.
",36,,,48.0,mode, Blazer veste tailleur Escada Margaretha Ley T 36,0
1082,2,1100.0,1100.0,"Bougeoir en cristal de bohème, de la marque BOHEMIA, 24% de plomb. Ø 23 cm
",,,,15.0,mobilier - deco,Bougeoir en cristal -BOHEMIA,2
1083,4,2608.0,1974.0,"Veste type bomber, à manches longues.
Bel imprimé fleuri d'inspiration japonaise.
Fermeture par zip à l'avant.
Bandes unies sur les manches.
2 poches à ouvrir.
Non doublée.

Taille XL
Prix d'origine : 20€",XL,,Rose,10.0,mode,,2
1084,3,1600.0,1200.0,"<p><strong>Robe Manches Courtes Femme LA CITY</strong></p>
<p>Taille 38</p>
<p>Couleur Noire</p>
<p>Neuve avec Étiquette</p>",38,,Noir,9.5,mode,LA CITY - T38 ( ref.d48 ),0
1085,3,1100.0,1100.0,"Possède un cadran à impulsions pour composer le numéro en parfait état, il a un crochet, un poussoir 
d'un coté, et un interrupteur de l'autre, 
l'élément écouteur est bien présent, ainsi que 
son micro à charbon, et le cordon électronique a une bonne longueur de 1m 10, son boîtier très solide est en métal, 

sa fontion de téléphone n'a pas été testé et, 
il semblerai qu'il manque la plaque signalétique.",,,Noir,14.0,loisirs,Téléphone combiné d'essai ancien de technicien des PTT,0
1086,4,1100.0,1100.0,"Pupitre pour partition de musique en inox, 
de marque allemande: Sebim, pliable, 
pied réglable en hauteur, robuste, 
déplié, la partition est posée à 1 m 27 du sol, 
une fois replié, il ne mesure que 39 cm de long, 
sur 7 cm de largeur, dans sa boîte d'origine.",,,,11.0,loisirs,"Pupitre pour partition de musique en inox, de marque Sebim",1
1087,3,1600.0,1200.0,"plaque émaillée ancienne  KANTERBRAU , bière lorraine de classe internationale, dimension 78 cm x 38 cm",,,Multicolore,120.0,mobilier - deco,"plaque émaillée ancienne  KANTERBRAU , bière lorraine de classe internationale",0
1088,9,2448.0,2448.0,"On aime l'esprit boléro de ce gilet uni moka, à la ligne courte et asymétrique. Un basique réactualisé qui joue avec une maille brodée ajourée et aérée, des bords festonnés et une matière ultra-douce pour un style tout en élégance.

- Boléro femme
- Ligne courte en maille brodée ajourée
- Bords festonnés
- Sans manches 
- Pans asymétrique 
- En maille douce 100% coton 

Coloris moka 

Taille 42",42,,Marron,6.0,mode,Gilet boléro femme hippie brodé uni moka JACQUELINE RIU ,0
1089,5,464.0,1024.0,"Ancien Porte-serviettes applique mural salle de bain 2 branche et 4 crochet aussi applique mural .
Dimension en cm : 52 Largeur.",,,,68.0,mobilier - deco,PORTE-SERVIETTES APPLIQUE MURAL,1
1090,3,2448.0,2448.0,"Marinière pour homme de la marque Celio
Taille : M
Colorie : Bleu et blanc
Composition : coton /  élasthanne 
Descriptif :  poche marine sur la poitrine côté cœur
Manches longues
Coupe droite
",M,,Bleu,4.0,mode,Marinière pour homme de la marque Celio ,1
1091,2,1100.0,1100.0,"Johnny Hallyday, collector, disque 45 tours vinyl, 
série parade, bon état.",,1971.0,Noir,10.0,loisirs,"Johnny Hallyday, 45T, 'Essayez', et 'C'est écrit sur les murs', 1971",1
1092,5,2448.0,2448.0,"5 POCHES
99 % COTON
1 % ÉLASTHANNE
ENTREJAMBE BAS : 13 CM
TAILLE 42
",42,,Bleu,8.0,mode,Jean's SKINNY Low Waist,1
1093,4,2304.0,3072.0,"Revue 'Fripounet et Marisette'
Année 1960
Lot de 13 numéros de Fripounet et Marisette
Du numéro 40 du 3 janvier 1960 au n°52 du 23 février 1960
20ième année",,1960.0,,15.0,librairie,Revue 'Fripounet et Marisette',1
1094,4,2492.0,2955.0,Très beau manteau / gilet sans manches pour fillette de 2 ans . Style assuré dès le plus jeune âge ! Sa fourrure blanche apporte un coté doux . Sympa à lui faire porter avec une petite robe pour être la plus belle . Broderie florale sur le devant . Fermeture par trois boutons pressions .,,,Multicolore,5.0,mode,"Manteau fillette sans manche à fourrure blanche , taille 2 ans ",1
1095,3,3456.0,4608.0,UHER 4000l Report L portable reel to reel tape recorde\ player. vintage Germany ,,,,35.0,loisirs,UHER 4000 raport l,0
1096,4,1088.0,1088.0,"JEANNE D'ARC par BOUTET de MONVEL 
Depuis le XIXe siècle, l'exploitation et les représentations de l'histoire de Jeanne d'Arc, histoire qui symbolise la France de façon mythique voire mystique, sont innombrables. Beaucoup de livres pour enfants ont illustré le destin exceptionnel de la Pucelle d'Orléans, mais aucun n'a jamais égalé le chef-d'oeuvre de Maurice Boutet de Monvel. Édité en 1896, l'ouvrage fut novateur par sa mise en pages et parle soin apporté à l'impression des illustrations. Boutet de Monvel, fasciné par l'épopée de Jeanne d'Arc et imprégné du désir de revanche après la défaite de 1870, répondait aux aspirations profondes du peuple français. La préface de Boutet de Monvel est sans équivoque : "" Ouvrez, mes chers enfants, ce livre avec dévotion en souvenir de cette humble paysanne qui est la patronne de la France, qui est la sainte de la Patrie, comme elle en a été la martyre. Son histoire vous dira que, pour vaincre, il faut avoir la foi dans la victoire. Souvenez-vous-en le jour où le pays aura besoin de tout votre courage """,,,Blanc,30.0,librairie,JEANNE D'ARC ,0
1097,5,683.0,1024.0,"Joli sac à main  pour femme marque VALENTINO , Taille française.
Dimension : 35 x 25",,,Noir,41.0,mode,Sac a main valentino,2
1098,4,4608.0,3072.0,"Jeu de tarot enluminé de 78 cartes, Lo Scarabeo, Editions Fabbri, 2002. ",,,Multicolore,10.0,loisirs,Tarot Alchimique,0
1099,5,4608.0,3456.0,"T-shirt marinière à manche ample mi-longue , rayure horizontale , décolté carré , accessoirisé de bouton bleu marine sur tout le long des manches & col , 
Un basique de la garde-robe ! 

Longueur 62cm
Manche 28cm
Taille 49cm ",M,,Blanc,9.0,mode,,0
1100,3,1100.0,1100.0,"Tête d'ours en fibre de verre, idéal pour les réalisateurs de costumes de cinéma, théatre ou juste pour des déguisements! Poids: 300g. En parfait état",,,,25.0,loisirs,Tete d'ours en fibre de verre,0
1101,3,1536.0,2048.0,"Nathan Milstein, violon
Claudio Abbado, orchestre philharmonique de Vienne
Deutsche Grammophon
Edition originale
Vinyl 30 cm
N° 2530359",,1973.0,,15.0,loisirs,Mendelssohn-Tchaïkosky : Concertos pour violon et orchestre,1
1102,2,616.0,616.0,"<p><strong>Livre d'occasion écrit par Collectif paru en 1994 aux éditions Albin Michel.</strong></p><p>A propos de cet exemplaire de ""Recettes de chef en chef"": couverture cartonnée, grand format , bon état.<br> . Code ISBN de référence pour ce livre : 9782226069818<br></p><p><strong>Informations légales sur la vente de livres d'occasion sur Label Emmaüs :</strong> la photo de couverture présentée n'est pas contractuelle. Vous recevrez l'exemplaire disponible actuellement dans nos boutiques dans un délai de 5 à 8 jours. </p><p>En achetant ce livre d'occasion en ligne, vous soutenez l'insertion professionnelle et l'emploi au sein d'une librairie solidaire Emmaüs, ainsi que le réemploi de livres et la préservation de l'environnement.</p>",,1994.0,,6.0,librairie,Recettes de chef en chef - Collectif,2
1103,3,2448.0,2731.0,"Belle mini jupe écossaise dans les tons gris . Ornées de 6 boutons originaux . Deux en formes de roses noires , deux noirs et deux strass .  Tulle noir sur le bas . A porter en été comme en hiver . 
Taille 38 , Longueur = 37 cm .",38,,Gris,5.0,mode,"Mini jupe écossaise grise , taille 38 ",1
1104,2,3619.0,1622.0,"Robe courte à bretelles.
Coupe ample.
Décolleté en V, orné de vagues.
Petite ouverture en V dans le dos, qui se croise avec les bretelles.

Taille M",M,,Rose,7.0,label selection,Robe vieux rose Mango,2
1105,7,2448.0,2448.0,"Sac à main vintage en cuir femme. 

- Fermeture à pression. 
- Surpiqûres ton sur ton. 
- Motifs fantaisies. 
- Anses fixe. 
- Bandoulière amovibles et réglable. 

Dimensions : 33x20x10 cm. 
Matière : 100% cuir de buffle. ",,,Marron,8.0,label selection,Sac à main vintage en cuir femme ,1
1106,1,900.0,900.0,"Le Xperia M2 est un concentré de technologie accessible à tous :
processeur 1,2 GHz, 8 Go de mémoire interne, 1 Go de RAM, une
navigation 4G en toute fluidité. L’essentiel et rien que
l’essentiel dans ce smartphone 4,8 pouces récent ! 

Débloqué tout opérateur et reconditionné dans nos ateliers 

> En très bon état, comme neuf / Garantie 6 mois 

Fourni dans la boite d'origine, avec chargeur et kit oreillette.",,,Noir,110.0,multimédia,Sony Xperia M2 - Blanc - Débloqué,0
1107,3,2935.0,2272.0,Ancien livre de chansons populaires comportant des partitions sur 258 pages . Quelques illustrations en noir et blanc . Le bouquin est jauni par le temps .,,,Gris,8.0,librairie,"Livre de partitions "" Roland Chansons Populaires """,0
1108,3,876.0,1024.0,Ancienne  balance précision bijoutier en Laiton . Magnifique balance de style bijoutier ou pharmacien vendu avec une série de 6 petits poids à l'intérieur tiroir de La balance : -10 G - 5G - 2 x 2 G - 1 G.,,,,37.0,mobilier - deco,Ancienne Petite Balance Bijoutier ,0
1109,5,3120.0,3120.0,"SUPERBE VESTE PURE LAINE  VIERGE AUTRICHIENNE VERTE 
MUNCHNER  STRICKMODEN Taille autrichienne 46 correspond au 44 Français ",44,,Vert,20.0,mode,VESTE LAINE AUTRICHIENNE,2
1110,5,900.0,675.0,"<p><strong>Pull Gilet Femme BERSHKA </strong></p>
<p>Manches Longues</p>
<p>Taille 34/36</p>
<p>Couleur Bleu Blanc Moucheté</p>
<p>Juste à Enfiler - Sans Fermeture</p>
<p>Neuf avec Étiquette</p>",34,,,4.99,mode,BERSHKA - T34/36 ( ref.c63 ),0
1111,20,426.0,453.0,"Lot de 3 voitures miniatures dinky toys :
-Superior criterion ambulance sans porte arrière. Etat moyen .
-Dino ferrari  état moyen.
-Rolls royce phantom v sans pneu coté conducteur .
",,,Multicolore,10.0,enfance,Lot de 3 voitures miniatures dinky toys,2
1112,1,320.0,250.0,"<p><strong>Livre d'occasion écrit par Albert Uderzo paru en 2005 aux éditions Albert René<br>Thème : BANDES DESSINÉES, COMICS, MANGAS.</strong></p><p>A propos de cet exemplaire de ""Astérix, tome 33 : Le ciel lui tombe sur la tête"": couverture cartonnée, grand format , état acceptable.<br> . Code ISBN de référence pour ce livre : 9782864971702<br></p><p><strong>Informations légales sur la vente de livres d'occasion sur Label Emmaüs :</strong> la photo de couverture présentée n'est pas contractuelle. Vous recevrez l'exemplaire disponible actuellement dans nos boutiques dans un délai de 5 à 8 jours. </p><p>En achetant ce livre d'occasion en ligne, vous soutenez l'insertion professionnelle et l'emploi au sein d'une librairie solidaire Emmaüs, ainsi que le réemploi de livres et la préservation de l'environnement.</p>",,2005.0,,4.2,librairie,"Astérix, tome 33 : Le ciel lui tombe sur la tête - Albert Uderzo",0
1113,3,1088.0,1088.0,"Pièce de 10 euros en argent ,dans boite protectrice de la monnaie de Paris ,avec certificat d'authenticité.",,,Argenté,15.0,loisirs,Piece 10 euros argent ,1
1114,3,1000.0,1000.0,"Le classique de chez Saint-James : le gilet en pure laine rouge, agrémenté de boutons blancs mouchetés. 
Quelques légers fils sont sortis au niveau du col arrière, en parfait état pour le reste ! 
Made in France, cocorico ! 
Taille : 38",38,,Rouge,15.0,mode,Gillet Saint-James en laine rouge,1
1115,1,616.0,616.0,"<p><strong>Livre d'occasion écrit par Paul Salaün paru en 1995 aux éditions Nouvelle Cité<br/>Thème : RELIGION.</strong></p><p>A propos de cet exemplaire de ""Séparés, divorcés, le chemin du pardon"": couverture souple, format moyen , bon état.<br/>  Intérieur bon, couverture légèrement défraichie. Code ISBN de référence pour ce livre : 9782853132497<br /></p><p><strong>Informations légales sur la vente de livres d'occasion sur Label Emmaüs :</strong> la photo de couverture présentée n'est pas contractuelle. Vous recevrez l'exemplaire disponible actuellement dans nos boutiques dans un délai de 5 à 8 jours. </p><p>En achetant ce livre d'occasion en ligne, vous soutenez l'insertion professionnelle et l'emploi au sein d'une librairie solidaire Emmaüs, ainsi que le réemploi de livres et la préservation de l'environnement.</p>",,1995.0,,3.0,librairie,"Séparés, divorcés, le chemin du pardon - Paul Salaün",2
1116,7,900.0,675.0,"<p><strong>Chaussures Femme Vintage CHASSE CROISE</strong></p>
<p>Style Mi Montante</p>
<p>Pointure 40</p>
<p>Couleur Marron Croco - Cuir</p>
<p>Bride Réglable en Fermoir</p>
<p>Bon Etat</p>",,,Marron,8.0,mode,CHASSE CROISE - P40 Chaussures Vintage ( ref.l38 ),2
1117,0,,,Couverture en cuir - 20 pages avec environ 80% de photos anciennes en noir et blanc (portrait).,,,Marron,50.0,les coups de coeur des vendeurs,Ancien Album de Photos,0
1118,5,1412.0,3442.0,"Modèle réduit Nazca M 12  Italdesign 1992 de couleur grise pourra s'ajouter à votre collection ou pour une chambre de petit garçon mais ne convient pas à un enfant en bas âge . Vendue sans son emballage d'origine , les portes s'ouvrent et manque le rétroviseur droit .",,,Gris,25.0,enfance,Voiture miniature 1/18 Nazca ,2
1119,4,2200.0,2200.0,"Foulard de soie André Claude Canova jaune et bleu.
Albatros, bateaux, ancres, marins, poissons illustrent ce carré intitulé Port Autonome de Marseille. 
Bords cousus machine.
Mesures 88 x 88 cm env. 
Quelques légères tâches et minuscules trous, non visibles porté.
",,,,10.0,mode,Foulard en soie André Claude Canova ,2
1120,4,2000.0,2000.0,"Ancien jeu de construction en bois Le Roi des Constructeurs, boite n°4. Fabrication française. La boite se compose de 37 pièces en bois aux formes et illustrations variées qui permettent de construire différents types de bâtisses. Des exemples sont illustrés à l'intérieur du couvercle. Le dessin sur la plupart des pièces et le dessus de la boite est passablement effacé et les charnières du couvercle sont cassées.  Dimensions de la boite : 33,8 x 23 x 4,5 cm.
",,,,15.0,enfance,Ancien jeu de construction en bois Le Roi des constructeurs,2
1121,2,1536.0,1536.0,"Étole orange. Dimensions : L 210 cm, l 80 cm.
Composition estimée : pashmina.",,,Orange,15.0,mode,,2
1122,4,3676.0,2476.0,Petit gilet femme imprimé fleuri sur le dos ainsi que l'encolure et les deux lanières pour nouer un joli nœud . Deux petites poches sur le devant . Le dos est légèrement plus long que le devant ( dos 70 cm et avant 62 cm ) . Agréable à porter de part sa légèreté . Taille 46 ,46,,Multicolore,15.0,mode,"Gilet femme fleuri Paul Smith , taille 46 ",0
1123,1,1100.0,1100.0,"2 boîtes de 15 plaques de diapositives en verre noir sur blanc de dimensions 8,9 x 6,4 cm. Plaques à visualiser avec un stéréoscope. Images privées",,,Noir,15.0,loisirs,"2 boîtes de 15 plaques de diapositives en verre noir sur blanc de dimensions 8,9 x 6,4 cm",1
1124,8,4032.0,3024.0,"Ménagère 36 couverts en métal argenté,avec 1 louche dans un coffret.",,,,40.0,mobilier - deco,ménagère 36 couverts en métal argenté,0
1125,4,1536.0,1536.0,"Chapeau en feutre gris foncé. Sur l'extérieur, 1 ruban gris satiné surmonté d'une fleur sur le coté gauche. Bords larges de 5 cm. Taille estimée : 56 cm",,,Gris,12.0,mode,,2
